"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Barbados","BRB","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","-23363546.4473362","-29815381.1020923","-45133583.3528332","-51712124.6759439","-47572138.2663624","-51421819.5630711","-56939753.5519686","-64909100.7508751","-52869417.4777504","-73740087.325","-62946316.7","-43413348.3","-68091566.635","-85454457.5","-156907055","-92430845","-90116417.5","-20411335","20984117.5","45968981.9294945","26750785.047862","81865712.6807956","59103428.0598285","20105969.402965","11731183.079585","158203259.196937","138420342.432369","189562661.109446","70400073.5489945","199454491.638673","-37846500.2093395","-58703765.3219385","-89379642.1910565","-54043855.6815411","-53106203.21171","-70241385.9001929","-111609970.789287","-286541342.316748","-258976337.096995","-63175419.2618752","-82551497.7587099","-194010698.48884","-79742008.0045355","-99336415.1264348","-101831734.53244","-122685030.092565","-63011759.6557801","32195367.75406","115142644.281685","171899877.501825","15071255.5452452","","","","","","",
"Brunei Darussalam","BRN","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1989059787.25675","1779007179.21169","2568584409.5717","3199787455.8062","4335140927.97401","5569590895.58787","5196313757.02077","7304766748.18525","4370174427.09202","5424417631.9042","7303248266.46829","6609154195.79177","4557118830.5744","5813453718.26044","1903397568.72309","1039098776.80807","1705234270.82597","1359241663.74238","1021907895.20701","503987342.563082","1982721410.23531","4304624976.69005","2497163501.0587",
"Bhutan","BTN","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-135666508.275048","50402524.6251131","-112000942.938711","-107898255.761345","-344757300.899123","-558990156.79171","-478829661.216349","-433041928.515847","-459214963.248015","-496734660.340354","-594968891.454513","-518571545.318266","-462859072.853855","-452196090.39644","-401795399.42642","-287001900.563872","-789981472.512696","-939178027.29917",
"Botswana","BWA","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","-84380460.0777116","-42090010.5709062","-73281420.1392245","-123044302.134794","-93864262.9841853","-173051561.868251","-400483624.391318","-198317730.999057","-71381307.3592649","11244839.70046","179652049.010063","189128650.337643","704432208.996844","353551580.113065","517101258.425313","18006243.0600936","94531112.162739","16447641.2802616","132476295.616107","384222050.918827","370895868.754373","569169393.307054","664882047.498743","-190025982.753888","597855038.450704","679374829.037563","604634492.20366","756116707.382117","955465957.303521","826929861.875511","1825358096.44794","1932753983.84303","1279865881.8668","-292092928.697594","-1262773518.87742","-1300748908.36186","-1019051881.27161","-2393567414.34267","-431507246.341567","474712194.042951","-909033269.203554","1308031982.08468","623187923.396331","169943118.054827","-1467064804.5948","-2850596682.24824","-1389094978.99035","87794270.084105","-829637310.539368",
"Central African Republic","CAF","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","-46267561.469392","-62639631.8063489","-88989534.0252786","-126405983.520643","-67231819.6091651","-90147402.1163416","-82119625.0562135","-77225049.1685395","-97955993.8223748","-157155853.947018","-155355473.646591","-134132076.258033","-116783795.468032","-190527759.354211","-139202546.175899","-180730947.707285","-108312334.398684","-65381291.4120434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","-506965097.119612","-212120980.730522","-95384130.624448","309278759.858606","563628154.482249","-72914365.29116","14746027.033359","659237891.668527","863477545.351366","91577097.885006","2225305803.45783","1599649051.68283","998715623.641446","1798485347.07658","188806815.456828","-3075889125.97873","-1515997270.58041","-510403180.723825","666682553.677133","1184242918.34056","4717395080.82998","2361388870.09483","12130845692.3911","11082294016.2113","12377075316.1164","8477603565.87651","3697836184.17817","5199682303.13484","4077707643.07544","363564038.84548","1115963784.24021","-3204750443.16358","-2261089319.66952","63206950.53321","6647801661.67287","18904083589.1696","24629288042.4509","12429974698.0679","12048309635.2646","24096639864.5943","41604373750.7723","41819090368.6475","32839901425.9662","34073822805.147","44846759262.6836","45678110612.9024","35204360382.2795","30611671625.0844","28144247478.8098","-20294599835.7533","-30874997989.8313","-21682664821.6812","-34518334882.5215","-28982082930.2643","-16320998998.6071","-38583775871.449","-36241676908.6053","-36237673595.1705","-33732774271.5123","-25538102775.714","-36499244170.9958","117851617.8094","3078327810.7166","-9809215765.9067",
"Central Europe and the Baltics","CEB","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","47430340.003061","-256707815.686031","-3180321456.38463","-3247581863.0006","-264224100.776275","-972774618.862203","-2215667515.86451","2012186039.6817","1891641654.37249","-12229582.6203","1018648396.41673","1692749265.35913","1758821461.86409","644418982.71735","4234403965.62043","9072204292.60039","11646322343.4134","13329165729.8699","14403419962.3246","12583959676.7016","14061341027.5182","12697634856.9753","15727670908.0436","12886665395.9725","11072088900.1949","16655365716.5224","18415553584.6914","28841850853.9883","21573539773.2025","29059214083.0142","44083170196.1085","52986310349.9128","32328344852.1281","54667613649.7312","46724214461.4352","55586080042.0105","65660095247.1844","68818322759.5168","66082559477.8815","62479254234.7253","57803788876.0292","70986209886.5496","65101059420.3423","44167555302.1223","97331329893.6191","110735663685.71","97823999736.477",
"Channel Islands","CHI","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","-217000000","425000000","-282000000","-696000000","-618000000","-1084000000","-3285000000","-411000000","547000000","-181000000","495720000","627760000","854900000","1519300000","1022540000","1055290000","1518700000","546000000","-1215700000","581000000","1056900000","-1072625133.10716","-1563380808.39716","-2492077323.14361","1689973427.38374","1400054677.54859","999286551.135342","1684100883.03244","3476680180.01817","9459076625.42755","10240622954.5137","21620045741.3602","22855567968.0995","4338523547.92283","13216148168.6064","13346978494.7103","7340657002.16982","-1247185765.84197","-2565312820.89356","1074236550.48632","-1995119986.58279","-527947370.65237","1879849955.37042","-2932905994.95935","-5068925697.89958","11444340118.7682","-2188473339.12548","-11869384984.6938","4541738609.43275",
